,titulo,descricao_do_recurso,tipo_de_recurso
330, Pipocas no laboratório, Conceitos de termodinâmica e macromoléculas, Experimento prático
331, Almanaque sonoro de química - Conservação de Alimentos - Parte 3, Despertar o interesse pelo estudo químico, Áudio
332, Os tamanhos, Diferenciar os tamanhos (grande – pequeno), Software Educacional
333, Joseph Louis Gay-Lussac, Apresentar a imagem de Gay-Lussac, Imagem
334, Interferência de ondas quânticas, Analisar o fenômeno de interferência quântica, Animação/simulação
335, Formação da parede celular, Aprender como a parede celular é formada, Animação/simulação
336, Macarrão, Conhecimento dos estados físicos da matéria, Áudio
337, Ligações Químicas, Conceitos básicos de atomística, Vídeo
338, Ajuricaba [Construtores do Brasil], Aprender sobre a história do índio Ajuricaba, Vídeo
339, Essa gente brasileira - Parte II, Duração: 8 minutos, Vídeo
340, Floresta Mamônica, Conceito de floresta e desmatamento, Vídeo
341, Reatividades dos metais, Conhecer a definição de reação química, Experimento prático
342, Minha comunidade [Aula lá fora], Duração: 27 min <VIRGULA> 37 s, Vídeo
343, Achando o centro de massa: parte 1: experimento prático, Encontrar o centro de massa de alguns objetos, Experimento prático
344, As citocininas, Aprender sobre a citocinina, Animação/simulação
345, Cuide do planeta, Duração: 13 min., Vídeo
346, Broken Calculator, Conhecimentos das operações básicas., Animação/simulação
347, Ampliando os limites da sala de aula [Livros etc.], Duração: 11 min <VIRGULA> 32 s, Vídeo
348, Frações Equivalentes, Identificar as frações que são equivalentes., Animação/simulação
349, Hábitos saudáveis [Esporte na escola], Duração: 13 min <VIRGULA> 22 s, Vídeo
350, Almanaque Sonoro de Química - Química na Agricultura - Parte 2, Despertar o interesse pelo estudo de Química, Áudio
351, O belo [Arte & matemática], Duração: 25 min <VIRGULA> 50 s, Vídeo
352, Citações - Crocodilo, Apresentar questões relativas a clichês, Animação/simulação
353, Fichamento: quando utilizar e como elaborar, Mostrar como elaborar e utilizar fichamentos, Outros
354, Bate papo neuronal, Conhecimento básico do sistema nervoso central, Áudio
355, Vocação Química - Eduardo Falabella, Estimular a vocação para a Química, Vídeo
356, Cálculos de porcentagem, Conhecer cálculos de regra de três simples, Animação/simulação
357, A diversidade reprodutiva dos Farógamos: Gimnospermas e Angiospermas: exercício 2, Aprender sobre a reprodução das plantas, Animação/simulação
358, Aí tem química! - Evidências das Reações, Identificar as evidências de reações químicas, Vídeo
359, Nacimiento de estrellas, Conceitos básicos de Astronomia, Vídeo
360, A matemática da música, Duração: 26 min <VIRGULA> 11 s, Vídeo
361, TV Escola – Sala de Professor – Programa Lima Barreto – Parte 03, Conhecer e analisar o gênero crônica, Vídeo
362, TV Escola – Sala de Professor – Programa Frutas e Legumes – Parte 08, Analisar e discutir o que são fertilizantes, Vídeo
363, Atividade experimental - termometria<VIRGULA> calorimetria e transferência de calor, Guia de experimento prático, Experimento prático
364, Eletrólise do iodeto de potássio, Mostrar a eletrólise do iodeto de potássio, Experimento prático
365, Quantos cabe?, Estimar medida de área, Experimento prático
366, Mão de espuma: parte 1: experimento prático, Mostrar a formação do poliuretano, Experimento prático
367, How can we see a black hole?, Entender um buraco negro de maneira lúdica, Vídeo
368, Ponto de fusão, Determinar o ponto de fusão de uma substância, Experimento prático
369, Vocação Química - Samuel Berg Maia, Estimular a vocação para a Química, Vídeo
370, Almanaque sonoro de química - Lixo Urbano: descarte e reciclagem de materiais - Parte 1, Despertar o interesse pelo estudo da química, Áudio
371, Número de ouro [Arte e matemática], Duração: 25 min <VIRGULA> 53 s, Vídeo
372, Pesando ar: parte 3: experimento prático, Adaptar um bico de pneu a uma tampa de PET, Experimento prático
373, Escuta só, Aprender como funciona o sistema auditivo, Outros
374, Brasília (DF), Conhecer a história de construção de Brasília, Vídeo
375, Um exemplo interessante (Funções), Auxiliar no ensino de operações com funções, Animação/simulação
376, Jogando com os números, Conhecimentos de numeração, Animação/simulação
377, Jogar com a matemática, Compreender os números, Software Educacional
378, Monte um átomo, Conhecimentos sobre a estrutura dos átomos, Animação/simulação
379, Sólido se movendo na tela, Apresentar o sólido geométrico: cubo, Animação/simulação
380, Ordene as bolinhas, Desenvolver a noção de seriação, Animação/simulação
381, Reação do amadurecimento da banana, Conhecer a definição de reação química, Animação/simulação
382, Quando dois cavalos não valem mais do que um: parte 2: video, Entender a Terceira Leis de Newton., Vídeo
383, Densidade dos sólidos, Definição de densidade, Experimento prático
384, Pulmão: parte 3 [Anatomia], Aprender sobre a estrutura anatômica do pulmão, Vídeo
385, Ficha ar 5: pressão atmosférica e seus efeitos, Demonstrar a ação da pressão atmosférica, Experimento prático
386, A vida aquática: níveis de organização do talo: exercício 3, Aprender sobre as algas, Animação/simulação
387, James Joule, Apresentar a imagem de James Joule, Imagem
388, OBMEP 2011 - Nível 1: Questão 4, Conhecimento sobre operações com números, Vídeo
389, Estados da Matéria, Noções de modelo cinético molecular, Animação/simulação
390, O fim da tensão, Conceito de tensão superficial, Experimento prático
391, Adaptação das raízes: raízes subterrâneas, Aprender sobre raízes terrestres, Animação/simulação
392, Blaise Pascal, Apresentar a imagem de Blaise Pascal, Imagem
393, Xeque-mate, Arranjo e permutaçao, Vídeo
394, Modelos do átomo de hidrogênio, Física moderna, Animação/simulação
395, Conversa Periódica - Pilhas e Baterias - Reações Espontâneas de Oxirredução, Descrever o funcionamento de pilhas e baterias, Vídeo
396, Almanaque sonoro de química - Conservação de Alimentos - Parte 1, Despertar o interesse pelo estudo químico, Áudio
397, Venn, Conjuntos numéricos, Software Educacional
398, Termoscópio – tesômetro – convecção, Noções básicas sobre convecção térmica, Vídeo
399, Quando Deus visita a aldeia [Índios no Brasil], Apresentar a cultura do índio Kaiowá, Vídeo
400, Titulação, Conhecimento básico sobre ácidos e bases, Vídeo
401, Conversa Periódica - Introdução ao Equilíbrio Químico, Conceituar equilíbrio químico, Vídeo
402, Alongamento de proteínas, Aprender sobre a síntese de proteínas, Animação/simulação
403, Uso de indicadores – parte1, Conhecimento em propriedades das substâncias, Vídeo
404, Combustível do foguete: parte 1: experimento prático, Noções de reações de oxirredução, Experimento prático
405, Identificando polígonos, Identificar e classificar diferentes polígonos, Experimento prático
406, Quem são eles? [Índios no Brasil], Duração: 17 min <VIRGULA> 45 s, Vídeo
407, A vida terrestre: níveis de organização das Briófitas e das Vasculares sem semente: exercício 2, Aprender sobre as plantas Briófitas, Animação/simulação
408, Almanaque Sonoro de Química - Lixo Urbano descarte e reciclagem de materiais - Parte 2.1, Despertar o interesse pelo estudo da Química, Áudio
409, Sonho de Ícaro, Duração: 00:07:43, Áudio
410, Sublimação do Iodo, Conhecimento em propriedades das substâncias, Vídeo
411, Folhas de Outono, Duração: 00:04:46, Áudio
412, TV Escola – Sala de Professor – Programa Neste chão<VIRGULA> tudo dá. – Parte 05, Analisar gráfico de porcentagem de imóveis, Vídeo
413, Origens: parte 1 [A cor da cultura: mojubá], Duração: 8 min <VIRGULA> 52 s, Vídeo
414, Construindo curvas: Conchóide de Nicomedes, Noções de construção geométrica, Outros
415, O ciclo da água, Mostrar como ocorre o ciclo da água, Animação/simulação
416, Mercantilismo, Duração: 1 m <VIRGULA> 47 s, Vídeo
417, Consegues espreitar sem ser visto?, Construir um periscópio, Experimento prático
418, Ovo maluco, Demonstrar o princípio da inércia, Experimento prático
419, Seis em linha divisão, Exercitar a divisão, Experimento prático
420, Cesta básica, Operações aritméticas com Números Decimais, Experimento prático
421, Do micro ao macro - Parte I e II, Definição de ordem de grandeza, Áudio
422, TV Escola incentiva parceria entre escolas: parte 3 [Como fazer? A escola], Duração: 9 min <VIRGULA> 29 s, Vídeo
423, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 2, Despertar o interesse pelo estudo da química, Áudio
424, Como são feitas as colméias, Aprender sobre a formação das colméias, Animação/simulação
425, Construindo curvas: hipérbole, Noções de construção geométrica, Outros
426, Lima Barreto: um grito brasileiro [Mestres da literatura], Conhecer sobre a vida e obra de Lima Barreto, Vídeo
427, Organelas celulares, Identificar as principais organelas celulares, Animação/simulação
428, Almanaque Sonoro de Química - Lixo Urbano descarte e reciclagem de materiais - Parte 2, Despertar o interesse pelo estudo da Química, Áudio
429, Lençóis (MA), Duração: 2 min, Vídeo
430, Desejos, Análise combinatória:Combinação, Vídeo
431, Raquete de carpete: parte 1: experimento prático, Conceitos de interações intermoleculares, Experimento prático
432, Bugalha e lenço atrás [Tempo de brincar], Aprender a brincar de bugalha e lenço atrás, Vídeo
433, A expansão humana, Aprender sobre a expansão da vida humana, Animação/simulação
434, Almanaque Sonoro de Química - Poluição Atmosférica - Parte 3, Despertar o interesse pelo estudo da Química, Áudio
435, Origami com Polígonos Regulares, A construção de polígonos regulares, Vídeo
436, A água do mar está quente?, Descobrir como funciona um termômetro, Experimento prático
437, Plano individual de trabalho: características da água, Constatar as características da água, Experimento prático
438, Dom Pedro I [Construtores do Brasil], Aprender sobre a vida de D. Pedro I, Vídeo
439, Segurança na poda de árvores do passeio público, Conscientização sobre segurança no trabalho, Vídeo
440, Math1_Binome_05_02, Apresentar a construção do Triângulo de Pascal, Animação/simulação
441, Fanático, Apresentar a etimologia da palavra fanático, Vídeo
442, Frações em Porcentagem, Conceito de fração e porcentagem., Animação/simulação
443, Relógio de sol, Construir um relógio de sol, Experimento prático
444, Camadas de líquidos: parte 2: vídeo, Discutir o conceito de densidade, Vídeo
445, Cristais de alúmen: parte 1: experimento prático, Mostrar a formação de estruturas cristalinas, Experimento prático
446, Grécia, Mostrar fatos sobre a história da Grécia, Outros
447, As plantas e a luz: exercício 3: jogo da velha, Aprender sobre botânica, Animação/simulação
448, A conjectura de Goldbach - Parte I, 1. Apresentar a conjectura de Goldbach, Áudio
449, Amazônia, Duração: 00:08:39, Áudio
450, O puxa-encolhe da borracha, Duração: 14 min., Vídeo
451, A descoberta dos cromossomos sexuais, Aprender sobre o cromossomo sexual X, Animação/simulação
452, Coisas boas da minha terra spot 20, Entender a modernização capitalista, Áudio
453, Reprodução das aves: parte 4 [Fisiologia], Aprender sobre o sistema reprodutor das aves, Vídeo
454, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 2, Despertar o interesse pelo estudo da química, Áudio
455, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 2.1, Despertar o interesse pelo estudo da química, Áudio
456, Polígonos regulares e ladrilhos, Duração: Uma aula dupla, Experimento prático
457, Quantas vezes?, Estimar intervalo de tempo, Experimento prático
458, Acelomados: exercício, Aprender sobre animais acelomados, Animação/simulação
459, Colocando as coisas no lugar, Noções de citologia, Animação/simulação
460, Laboratório de Pêndulos, Leis de Newton; Conservação de energia, Animação/simulação
461, Ação e Reação - O Chute - Parte I e II, Conceito de força; vetores, Áudio
462, Curve fitting, Construção de gráficos, Animação/simulação
463, De que cor é a luz do sol?, Demonstrar a decomposição da luz branca, Experimento prático
464, Entre a fé e a espada, Duração: 15 min, Vídeo
465, Estereoisômeros: exercício, Aprender sobre estereoisomêros, Animação/simulação
466, A Era Vargas [História do Brasil por Boris Fausto], Conhecer a Era Vargas, Vídeo
467, Osciladores acoplados e modos de vibração, Executável Java, Animação/simulação
468, Frases Célebres - Epigramas I - O epigrama de Marcial, Apresentar a história de epigramas, Animação/simulação
469, Moda, Estatística; Moda, Animação/simulação
470, Eletrólise com arte: parte 2: vídeo, Conceitos de magnetismo e eletrólise, Vídeo
471, Levitação de Bernoulli, Demosntrar o princípio de Bernoulli, Experimento prático
472, Professora Márcia [História de professor], Conhecer o trabalho da professora Márcia, Vídeo
473, Adaptações fisiológicas: luz e nutrientes, Aprender sobre organismos fotossintetizantes, Animação/simulação
474, Foguete de água: parte 1: experimento prático, Construir um foguete impulsionado por água, Experimento prático
475, Frases Célebres - O Epigrama na República romana antiga, Apresentar a história e análise de epigramas, Animação/simulação
476, Física moderna: parte 2 [Com ciência], Discutir o ensino de física moderna, Vídeo
477, Como funciona uma autoclave: parte 1: experimento prático, Demonstrar a utilização de uma autoclave, Experimento prático
478, Na companhia dos holandeses, Discorrer sobre a invasão holandesa, Vídeo
479, Diabetes e sedentarismo, Explicar o desenvolvimento da diabetes., Áudio
480, Pêndulo tipo mola, Conceitos de velocidade e massa, Animação/simulação
481, Euros, Conhecimento básico em adição, Software Educacional
482, Arte e números, Duração: 25 min, Vídeo
483, Que frio!, Conhecimentos em compreensão textual, Áudio
484, Ficha ar 8: propriedades do ar - o ar ocupa espaço, Comprovar a existência do ar, Experimento prático
485, Fraude 171 - Parte II, 10 minutos divididos em 2 blocos de 5 minutos, Áudio
486, Guimarães Rosa: o mágico do reino das palavras [Mestres da literatura], Conhecer sobre a vida e obra de Guimarães Rosa, Vídeo
487, Frases Célebres - O Epigrama de Bocage, Apresentar a análise de epigramas de Bocage, Animação/simulação
488, Vanguardas, Conhecer os movimentos da Vanguarda Européia, Animação/simulação
489, As ervilhas ajudariam Jacó?, Conhecer os experimentos de Mendel, Animação/simulação
490, Eletroímã, Construir um eletroímã, Experimento prático
491, Ver e vir [Orto e grafia], Duração: 3 min <VIRGULA> 17 s, Vídeo
492, Submarino, Conhecer a estrututa e a história do submarino, Outros
493, Dinâmica de Grupo, 1. Apresentar os números de Catalan, Vídeo
494, Enrolados, Duração do vídeo: 1:34, Experimento prático
495, As citocininas e giberelinas: exercício 2, Aprender sobre hormônios vegetais, Animação/simulação
496, Guerra do Paraguai<VIRGULA> a guerra do Extermínio: parte I, Conhecer a Gerra do Paraguai, Vídeo
497, Almanaque Sonoro de Química - Química da Atmosfera - Parte 2, Despertar o interesse pelo estudo da química, Áudio
498, O hotel de Hilbert, Apresentar o conceito de infinito, Vídeo
499, Soma de vetores, Conhecimento básico de vetores, Animação/simulação
500, Praticando a Seleção Natural - Parte1: Experimento prático, Este objeto apresenta parte 2, Experimento prático
501, Com prazer e alegria, Compreensão textual, Áudio
502, Artes plásticas [Aula lá fora], Duração: 28 min <VIRGULA> 22 s, Vídeo
503, Simetria [Arte & matemática], Duração: 26 min <VIRGULA> 22 s, Vídeo
504, Tensão superficial em ação: parte 2: vídeo, Demonstrar a tensão superficial na água, Vídeo
505, Urso cinzento, A foto foi tirada por Kim Keating, Imagem
506, Eletrólise com arte: parte 1: experimento prático, Conceitos de magnetismo e eletrólise, Experimento prático
507, Aí tem química! - Solubilidade I, Compreender o conceito de solubilidade, Vídeo
508, Motor linear, Eletromagnetismo básico, Animação/simulação
509, Eletrólise por 5 centavos: parte 1: experimento prático, Noções de reações químicas, Experimento prático
510, Le Chatelier e o cloreto de cobalto: parte 1: experimento prático, Discutir o princípio de Le Chatelier, Experimento prático
511, Arco-íris cromatográfico: parte 1: experimento prático, Executar a técnica de cromatografia em papel, Experimento prático
512, Jardim colorido, Formar cristais coloridos de silicatos, Experimento prático
513, Filtração, Conhecimento em propriedades das substâncias, Vídeo
514, Ajuste de curvas, Noções de gráficos e funções, Animação/simulação
515, Rituais [Além mar], Duração: 49 min, Vídeo
516, Medidor de densidade, Conceito de densidade, Experimento prático
517, Transformando o lixo em energia limpa, Duração: 00:02:45, Áudio
518, Desafio canino, Necessita de leitor de pdf, Experimento prático
519, Movimento no plano, Estudar o movimento em duas dimensões, Animação/simulação
520, Carlos Gomes: parte 2 [Aurora luminosa], Apresentar obra orquestrada de Carlos Gomes, Vídeo
521, Transporte para-celular, Conhecimento básico de biologia celular, Animação/simulação
522, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 1, Despertar o interesse pelo estudo da química, Áudio
523, Harmônicos e análise de Fourier, Noções de análise de Fourier, Animação/simulação
524, Brasil x Argentina, Aplicar o cálculo de probabilidades, Vídeo
525, TV Escola – Sala de Professor – Programa A grande história dos mapas – Parte 02, Discutir e analisar tipos de mapeamento, Vídeo
526, Arco-íris, Demonstrar a decomposição da luz branca, Experimento prático
527, TV Escola – Sala de Professor – Programa Os Quartetos – Parte 03, Compreender a forma musical do quarteto, Vídeo
528, Racionalismo, Aprender o que é racionalismo, Vídeo
529, Forma dentro da forma [Arte e matemática], Duração: 26 min <VIRGULA> 22 s, Vídeo
530, Ciência dos instrumentos: Percussão, Conhecimento básico sobre ondulatória, Experimento prático
531, Malária: Uma doença tão antiga quanto complicada, Duração: 00:02:36, Áudio
532, Aminoacil RNAT iniciador, Aprender sobre tradução de proteínas, Animação/simulação
533, Tubo em U misterioso: parte 1: experimento prático, Esse experimento possui vídeo associado, Experimento prático
534, Adaptação das raízes: raízes aquáticas, Aprender sobre raízes aquáticas, Animação/simulação
535, Microscópio óptico, Identificar as partes de um microscópio óptico, Animação/simulação
536, Propagação de calor por condução, Experimento de fácil execução, Experimento prático
537, O coração dá a dica, Conhecimento básico sobre o reino protista, Áudio
538, Rondon e os índios brasileiros: terceira parte, Duração: 17 min <VIRGULA> 59 s, Vídeo
539, Citações - Jogo literário, Apresentar frases famosas, Animação/simulação
540, O palhaço espalhafato, Compreensão textual, Áudio
541, A cabanagem - O Texto e as suas Versões: Paráfrase e Polissemia - Episódio III, Assistir o vídeo Cabanagem, Animação/simulação
542, Adição de vetores 2.01, Noções de vetores, Animação/simulação
543, Efeito estufa, Noções de reação química, Software Educacional
544, Flores para as namoradas, Operações aritméticas com Números Naturais, Experimento prático
545, Biruta, Construir uma biruta, Experimento prático
546, Pressão radicular, Demonstrar a pressão radicular, Experimento prático
547, Câmara Escura, Duração: Uma aula dupla, Experimento prático
548, Percentagem de água em um tecido vivo, Determinar o teor de água de um tecido vivo, Experimento prático
549, Gráfico, Conceitos básicos para construção de gráficos, Animação/simulação
550, Pesando ar: parte 1: experimento prático, Comportamento dos gases, Experimento prático
551, Energia Mecânica, Evidenciar a tranformação de energia, Experimento prático
552, Gelo seco com indicador: parte 1: experimento prático, Noções de equilíbrio químico, Experimento prático
553, Oscilações forçadas (ressonância), Conceito de oscilações, Animação/simulação
554, Lâmpadas e mais lâmpadas, Circuitos em série e em paralelo, Animação/simulação
555, Mago da Física - montagem dragão 3D, Aprender a montar e observar uma figura em 3D, Vídeo
556, Íman artificial, Conhecimentos sobre eletricidade e magnetismo, Experimento prático
557, Bioinformática livre, Duração: 00:02:22, Áudio
558, Viagem no tempo: parte 4 [Categorias Literárias], Despertar no aluno o interesse pela leitura, Áudio
559, Mistura quente, Discutir reações exotérmicas, Experimento prático
560, Campos Magnéticos, Noções básicas de eletromagnetismo, Vídeo
561, Knojo – O muco, Arquivo presente no formato MPEG-2, Vídeo
562, Televisão e educação de crianças [Livros etc.], Apresentar a televisão como material didático, Vídeo
563, Colisão Elástica, Discutir a física de uma colisão elástica, Animação/simulação
564, Alterações na estrutura dos cromossomos, Aprender sobre alterações nos cromossomos, Animação/simulação
565, Brasília, Duração: 2 min, Vídeo
566, Símbolos [Visões do esporte], Duração: 1 min <VIRGULA> 8 s, Vídeo
567, Arte na comunidade [Aula lá fora], Duração: 28 min <VIRGULA> 4 s, Vídeo
568, Poluição X Acidificação do Oceano - Parte 2: Vídeo, Este objeto apresenta parte 1, Vídeo
569, Mágica das cartelas, Duração: Uma aula simples, Experimento prático
570, Gazeta, Apresentar a origem da palavra \gazeta\, Vídeo
571, What\'s between the stars?, Compreender o meio interestelar, Vídeo
572, Almanaque sonoro de química - Cosméticos - Parte 1, Despertar o interesse pelo estudo da química, Áudio
573, Transformações gasosas, Noções básicas de Termodinâmica, Animação/simulação
574, Forma que se transforma [Arte e matemática], Duração: 25 min <VIRGULA> 16 s, Vídeo
575, Skate e buldogue [Tempo de brincar], Aprender como brincar de skate e buldogue, Vídeo
576, Imagens do Brasil - Senhora Sinônima, Discutir questões relativas à sinonímia, Animação/simulação
577, Paralelogramo, Identificar os elementos do paralelogramo, Animação/simulação
578, Dinamómetros, Compreender o funcionamento de um dinamômetro, Vídeo
579, Balões - bloco 1 e 2, Conceitos de massa e volume, Áudio
580, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 3.1, Despertar o interesse pelo estudo da química, Áudio
581, Jacaré e espirobol [Tempo de brincar], Aprender a brincar de jacaré e espirobol, Vídeo
582, O acesso à água potável, Discutir o problema do acesso à água potável, Áudio
583, A Carta, 1. Introduzir noções de criptografia, Vídeo
584, Diversity of Small Molecules, Identificar aspectos das moléculas pequenas, Vídeo
585, Fenol, Demontrar a estrutura de uma molécula de fenol, Imagem
586, Palmeira-da-califórnia (Washingtonia filifera (Lindl.) H.Wendl.): fusariose [Esporos], Agente: Fusarium sp., Imagem
587, Ondas com escova de dente: parte 1: experimento prático, Mostrar a formação de ondas estacionárias, Experimento prático
588, Heinrich Hertz, Apresentar a imagem de Heinrich Hertz, Imagem
589, Classificando sólidos, Classificação de sólidos geométricos, Experimento prático
590, Perigos ocultos na água - Poluição, Conhecimento sobre soluções homogêneas, Experimento prático
591, Educação para a segurança no trânsito das crianças, Conhecimento do alfabeto, Software Educacional
592, Plantas de todo lugar em um só lugar, Duração: 00:02:13, Áudio
593, Thomas Hobbes, Aprender os princípios da filosofia de Hobbes, Vídeo
594, Controle ao tabagismo: parte 1 [Dia Mundial Sem Tabaco: Juventude Livre do Tabaco], Abordar informações sobre o uso do tabaco, Vídeo
595, Ditado ao professor [Viagens de leitura], Duração: 12 min <VIRGULA> 59 s, Vídeo
596, Frases Célebres: Autor e Autoria, Jogo de software, Animação/simulação
597, Surpresa na sombra, Conhecimentos em compreensão textual, Áudio
598, A cabanagem - A questão da autoria e a circulação dos textos na sociedade - Episódio III, Assistir o vídeo Cabanagem, Animação/simulação
599, Pantógrafo, Compreender a construção de um pantógrafo, Outros
600, Medindo a Terra, 1. Introduzir os conceitos de sistema métrico, Vídeo
601, Johannes Diderik van der Waals, Apresentar a imagem de Van der Waals, Imagem
602, Neve instantânea: parte 1: experimento prático, Evidenciar a absorção de água por um polímero, Experimento prático
603, Almanaque Sonoro de Química - Embalagens - Parte 3, Despertar o interesse pelo estudo de Química, Áudio
604, Mago da Física - Propagação de Calor: Convecção, Conhecer a propagação de calor em um fluido., Vídeo
605, Cabide balança, Construir uma balança de medida, Experimento prático
606, Memória da tabuada, Exercitar a tabuada, Animação/simulação
607, Língua [Além mar], Duração: 51 min <VIRGULA> 8s, Vídeo
608, Reprodução das aves: parte 3 [Fisiologia], Aprender sobre o sistema reprodutor das aves, Vídeo
609, Barão do Rio Branco [Construtores do Brasil], Aprender sobre a vida do Barão do Rio Branco, Vídeo
610, Joseph John Thomson, Apresentar a imagem de J. J. Thomson, Imagem
611, O vínculo professor e aluno [PCN na escola: convívio escolar], Duração: 11 min <VIRGULA> 57 s, Vídeo
612, Projeto interdisciplinar: escola e comunidade: parte 2 [Como fazer? A escola], Duração: 19 min <VIRGULA> 17 s, Vídeo
613, TV Escola – Sala de Professor – Programa Lima Barreto – Parte 08, Desenvolver a atividade interdisciplinar, Vídeo
614, Combinat, Arranjo <VIRGULA> combinação e permutação., Software Educacional
615, Livros Contábeis - Registro, Apresentar os livros contábeis, Vídeo
616, Reação na lata: Parte 2: Vídeo, Conhecimentos de reações de oxidação e redução, Vídeo
617, Sustentação de uma barra, Aplicação de forças, Animação/simulação
618, Jardim de silicatos, Conhecimento básico sobre osmose, Experimento prático
619, Porque chove?, Demonstrar o ciclo da água, Experimento prático
620, Ludwig Boltzmann, Apresentar a imagem de Ludwig Boltzmann, Imagem
621, Josiah Willard Gibbs, Apresentar a imagem de Josiah Willard Gibbs, Imagem
622, Lei seca [É com você<VIRGULA> cidadão], Aprender sobre a \lei seca\, Vídeo
623, A ordem no caos [Arte & Matemática], Duração: 26 min, Vídeo
624, Minhocuçu<VIRGULA> uma minhoca gigante<VIRGULA> nariguda e com asas, Duração: 00:02:25, Áudio
625, Óptica geométrica, Conhecimento básicos de ótica, Animação/simulação
626, Botânica - órgãos vegetais, Auxiliar o aluno no aprendizado da botânica, Outros
627, Rins [Anatomia], Aprender sobre a anatomia do rim humano, Vídeo
628, Planejamento [Visões do esporte], Duração: 1 min <VIRGULA> 34 s, Vídeo
629, Corrida Maluca: parte2: vídeo, Demonstrar a conservação da energia mecânica, Vídeo
630, A flor e o indicador: parte 1: experimento prático, Conceito de ácido e base, Experimento prático
631, A acne: parte 2 [Geração saúde], Duração: 8 min <VIRGULA> 36 s, Vídeo
632, Delete, Apresentar a origem da palavra delete, Vídeo
633, Uma outra história [Índios no Brasil], Duração: 15 min <VIRGULA> 40 s, Vídeo
634, Reciclagem [Aula lá fora], Duração: 26 min <VIRGULA> 56 s, Vídeo
635, A importância do planejamento escolar [Letra viva], Duração: 25 min <VIRGULA> 53s, Vídeo
636, O texto e a imagem [Livros etc.], Duração: 9 min <VIRGULA> 44 s, Vídeo
637, Por dentro da maconha, Duração: 00:02:46, Áudio
638, MatTrab, Matrizes, Software Educacional
639, Aquecendo os neurônios - Episódio 1, Conhecimento sobre efeito estufa, Áudio
640, Saúde da pele: parte 2 [Geração saúde], Duração: 12 min <VIRGULA> 51 s, Vídeo
641, Cadeia alimentar, Apresentar a cadeia alimentar, Animação/simulação
642, Lente de aumento, Construir uma lente de aumente de água, Experimento prático
643, A história do plasmódio, Duração: 00:02:54, Áudio
644, Efeito de Tyndall, Conhecimentos Básicos de Ótica, Vídeo
645, Arquimedes, Apresentar a imagem de Arquimedes, Imagem
646, Gota salina: parte 1 : experimento prático, Noções de eletroquímica, Experimento prático
647, Johannes Kepler, Apresentar a imagem de Johannes Kepler, Imagem
648, Quantas imagens vês?, Construir um caleidoscópio, Experimento prático
649, Diferença entre temperatura e calor 1, Experimento de fácil execução, Experimento prático
650, Acidez de uma mostarda, Determinar a acidez do condimento de mostarda, Experimento prático
651, As plantas nos diferentes ambientes: exercício 1, Aprender sobre as adaptações das plantas, Animação/simulação
652, Um violeiro toca, Duração: 00:05:51, Áudio
653, Guerra do Paraguai<VIRGULA> a guerra do Extermínio: parte II, Conhecer a Gerra do Paraguai, Vídeo
654, Movimento dos projéteis, Estudar o movimento de projéteis, Animação/simulação
655, Bomba ultiva [Anestesiologia], Aprender como usar uma bomba infusora, Vídeo
656, Gas properties, Conceitos de termodinâmica, Animação/simulação
657, Bárbaro, Apresentar a origem da palavra \bárbaro\, Vídeo
658, Aí tem química! - Salinidade - Concentrações, Compreender o conceito de solubilidade, Vídeo
659, Imagens do Brasil - Língua e domínio, Discutir as relações de poder na língua, Animação/simulação
660, Lei de Coulomb, Demostrar a força entre cargas elétricas., Animação/simulação
661, Medidas, Necessita de leitor de arquivos pdf, Experimento prático
662, Tratamento de água, Noções de separação de misturas, Experimento prático
663, O que é a avaliação? [Avaliação e aprendizagem], Duração: 13 min <VIRGULA> 36 s, Vídeo
664, Trenzinho da Estação, Noção de referencial inercial e movimento, Animação/simulação
665, Mago da física - persistência da visão - exemplo visual, Entender a persistência retiniana, Vídeo
666, Almanaque sonoro de química - Cosméticos - Parte 1.1, Despertar o interesse pelo estudo da química, Áudio
667, René Descartes, Apresentar a imagem de René Descartes, Imagem
668, A estrutura dos capsídeos virais, Aprender sobre a estrutura dos vírus, Animação/simulação
669, Galileo Galilei, Apresentar a imagem de Galileo Galilei, Imagem
670, Estrutura dos sólidos (2) - tetragonal, Conhecer as estruturas tetragonais dos sólidos, Animação/simulação
671, Ponto de ebulição, Determinar o ponto de ebulição de substâncias, Experimento prático
672, Géiser Caseiro, Demonstrar como ocorre um Géiser, Experimento prático
673, James Chadwick, Apresentar a imagem de James Chadwick, Imagem
674, Toda lagarta vira borboleta... ou mariposa - Parte 1: Experimento prático, Demonstrar a metamorfose em insetos, Experimento prático
675, Ameba e pau de sebo [Tempo de brincar], Aprender como brincar de ameba e pau de sebo, Vídeo
676, Origens: parte 2 [A cor da cultura: mojubá], Duração: 9 min <VIRGULA> 7 s, Vídeo
677, Alma não tem cor, Duração: 00:06:42, Áudio
678, Destilação fracionada, Mostrar a técnica de destilação fracionada, Experimento prático
